experiment_id,row_index,step,timestamp_s,vehicle_id,scenario,ground_truth_class,ground_truth_reason,ground_truth_label_source,real_world_cyberattack_label,synthetic_cyber_label,laboratory_generated,physical_vehicle,direct_vehicle_actuation,live_cortex_xdr_api,model_retraining,requirement_evaluation_count,requirement_pass_count,requirement_fail_count,requirement_not_evaluable_count,requirement_unknown_count,all_requirements_pass,prediction_available,prediction_source_row,y3_probability,y6_probability,source_feature_sha256,source_requirement_sha256,source_prediction_sha256,feature__timestamp_s,feature__step,feature__VehicleSpeed,feature__WheelSpeedFL,feature__WheelSpeedFR,feature__SteeringAngle,feature__LongitudinalAcceleration,feature__LateralAcceleration,feature__YawRate,feature__speed_wheel_speed_error,feature__steering_yaw_joint_magnitude,feature__Accelerator,feature__BrakePressure,feature__BrakeStatus,feature__RegenCommand,feature__VCUState,feature__MotorRPM,feature__TorqueCommand,feature__RegenAvailable,feature__TorqueFeedback,feature__MotorTemperature,feature__InverterTemperature,feature__InverterState,feature__SOC,feature__SOH,feature__HVVoltage,feature__HVCurrent,feature__BatteryTemperature,feature__CellVoltageDeviation,feature__CellTemperatureDeviation,feature__BMSState,feature__IsolationStatus,feature__ContactorState,feature__PrechargeState,feature__ChargingState,feature__ConnectorState,feature__ChargeCurrent,feature__VCUHeartbeat,feature__BMSHeartbeat,feature__InverterHeartbeat,feature__GatewayHeartbeat,feature__SequenceCounter,feature__RCMHeartbeat,feature__OccupantSensorHeartbeat,feature__RestraintGatewayHeartbeat,feature__RestraintSequenceCounter,feature__can_frame_interval_s,feature__DiagnosticState,feature__IntegrityStatus,feature__GatewayIntegrity,feature__DriverSeatbelt,feature__PassengerSeatbelt,feature__DriverPretensioner,feature__PassengerPretensioner,feature__RolloverStatus,feature__RestraintDiagnostic,feature__RestraintIntegrity,feature__RestraintSequence,feature__DriverAirbag,feature__PassengerAirbag,feature__SideAirbag,feature__CurtainAirbag,feature__ImpactSeverity,feature__DriverOccupant,feature__PassengerOccupant,feature__DriverPosition,feature__PassengerPosition,feature__CrashEventStatus,feature__AuxBatteryVoltage,feature__AuxBatteryStatus,feature__cp_speed_consistency_error,feature__cp_brake_consistency_error,feature__cp_torque_tracking_error,feature__cp_steering_yaw_consistency,feature__cp_hv_power_kw,feature__cp_battery_temperature_abs,feature__accelerator_torque_joint,feature__laboratory_generated,feature__physical_vehicle,feature__direct_actuation,previous_record_hash,record_hash
P5_8_0000,0,0,0.0,EV-LAB-001,NORMAL_BASELINE,NORMAL_LABORATORY_STATE,all_lab_rules_within_thresholds,DETERMINISTIC_LABORATORY_RULES,False,False,True,False,False,False,False,40,40,0,0,0,True,False,,nan,nan,4042ad1036ad8c06577ccdadc7323ef31cbcb321ec481f9518351a66d8ce373d,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03,0.0,0.0,60.0,60.24,59.79,0.0,2.0,0.0,0.0,0.015000000000000568,0.0,32.0,0.0,0.0,4.800000000000001,2.0,3300.0,114.30000000000001,1.0,112.0,77.0,65.0,2.0,80.0,98.0,398.8,79.7,30.0,0.012,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.6,1.0,0.015000000000000568,0.0,2.3000000000000114,0.0,31.78436,30.0,3657.6000000000004,True,False,False,GROUND_TRUTH_GENESIS,0c9f29f79a5880ef837134e6907601df60b9b9894384a8ade3440dae1ac31347
P5_8_0001,1,1,0.05,EV-LAB-001,NORMAL_BASELINE,NORMAL_LABORATORY_STATE,all_lab_rules_within_thresholds,DETERMINISTIC_LABORATORY_RULES,False,False,True,False,False,False,False,40,40,0,0,0,True,False,,nan,nan,b179e24dc57f80403b2e58960b2115306cf4e6b94fed5bbc3c034c5a9f6ef185,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03,0.05,1.0,60.160000000000004,60.35,59.88,0.1,0.32,0.0,0.1,0.045000000000001705,0.2,32.0,0.0,0.0,4.800000000000001,2.0,3309.0,114.60000000000001,1.0,114.4,76.0,65.0,2.0,80.0,98.0,398.8,78.7,30.0,0.013000000000000001,2.1,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.61,1.0,0.045000000000001705,0.0,0.20000000000000284,0.2,31.38556,30.0,3667.2000000000003,True,False,False,0c9f29f79a5880ef837134e6907601df60b9b9894384a8ade3440dae1ac31347,0916f83c1a41b229893688541c9abc4374c454a8ae2c09ea5bc09330540bf89b
P5_8_0002,2,2,0.1,EV-LAB-001,NORMAL_BASELINE,NORMAL_LABORATORY_STATE,all_lab_rules_within_thresholds,DETERMINISTIC_LABORATORY_RULES,False,False,True,False,False,False,False,40,40,0,0,0,True,False,,nan,nan,aa4bd796d41da8ca93f8e4365c2735ad91ef74a008ef7409defde057d8739464,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03,0.1,2.0,60.32,60.63,60.03,0.2,0.32,0.0,0.1,0.00999999999999801,0.30000000000000004,30.0,0.0,0.0,4.800000000000001,2.0,3317.0,112.10000000000001,1.0,111.2,76.0,65.0,2.0,80.0,98.0,398.3,79.4,30.0,0.01,2.1,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.59,1.0,0.00999999999999801,0.0,0.9000000000000057,0.30000000000000004,31.625020000000003,30.0,3363.0000000000005,True,False,False,0916f83c1a41b229893688541c9abc4374c454a8ae2c09ea5bc09330540bf89b,da8983ac0ff76a7c2c30570361c1a58f22271bec744259e224ddc2610038e965
P5_8_0003,3,3,0.15,EV-LAB-001,NORMAL_BASELINE,NORMAL_LABORATORY_STATE,all_lab_rules_within_thresholds,DETERMINISTIC_LABORATORY_RULES,False,False,True,False,False,False,False,40,40,0,0,0,True,False,,nan,nan,beffb7863f1bd16b7632d196d7df1a7ac5ce6eab766a80ed77d295e44509f24b,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03,0.15,3.0,60.480000000000004,60.74,60.34,0.30000000000000004,0.32,0.0,0.30000000000000004,0.060000000000002274,0.6000000000000001,32.800000000000004,0.0,0.0,4.800000000000001,2.0,3326.0,115.4,1.0,116.10000000000001,78.0,65.0,2.0,80.0,98.0,398.40000000000003,80.10000000000001,30.0,0.013000000000000001,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.56,1.0,0.060000000000002274,0.0,0.7000000000000028,0.6000000000000001,31.91184000000001,30.0,3785.120000000001,True,False,False,da8983ac0ff76a7c2c30570361c1a58f22271bec744259e224ddc2610038e965,a9a4817a3bcfa2cf7907cc142462599f85be6827715e91bb81d72c29f8f858eb
P5_8_0004,4,4,0.2,EV-LAB-001,NORMAL_BASELINE,NORMAL_LABORATORY_STATE,all_lab_rules_within_thresholds,DETERMINISTIC_LABORATORY_RULES,False,False,True,False,False,False,False,40,40,0,0,0,True,False,,nan,nan,86952d3b705e5a3bea22977133eb7fed4a81776b35c44321dc205699eed5c790,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03,0.2,4.0,60.63,60.95,60.550000000000004,0.4,0.32,0.0,0.4,0.11999999999999744,0.8,33.6,0.0,0.0,4.800000000000001,2.0,3335.0,116.2,1.0,116.10000000000001,77.0,65.0,2.0,80.0,98.0,398.0,80.80000000000001,31.0,0.009000000000000001,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.63,1.0,0.11999999999999744,0.0,0.09999999999999432,0.8,32.15840000000001,31.0,3904.32,True,False,False,a9a4817a3bcfa2cf7907cc142462599f85be6827715e91bb81d72c29f8f858eb,c91e69d4a89d6349d2546de0b936a2310098a8f250cb71f83940b47a95e0a7b9
P5_8_0005,5,5,0.25,EV-LAB-001,NORMAL_BASELINE,NORMAL_LABORATORY_STATE,all_lab_rules_within_thresholds,DETERMINISTIC_LABORATORY_RULES,False,False,True,False,False,False,False,40,40,0,0,0,True,False,,nan,nan,54f9de98a1ea2a288396a4baaa189ccfc7374f737c913552c5ea824a8c72dbd8,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03,0.25,5.0,60.79,61.09,60.78,0.5,0.32,0.0,0.4,0.14500000000000313,0.9,32.0,0.0,0.0,4.800000000000001,2.0,3344.0,114.5,1.0,113.2,77.0,64.0,2.0,80.0,98.0,399.0,79.60000000000001,30.0,0.013000000000000001,1.9000000000000001,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,5.0,1.0,1.0,1.0,5.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.56,1.0,0.14500000000000313,0.0,1.2999999999999972,0.9,31.760400000000004,30.0,3664.0,True,False,False,c91e69d4a89d6349d2546de0b936a2310098a8f250cb71f83940b47a95e0a7b9,fb293918658a79c0c4add2bb9c62494d0f0ad9a04689123031be0b7bdd693db8
P5_8_0006,6,6,0.3,EV-LAB-001,NORMAL_BASELINE,NORMAL_LABORATORY_STATE,all_lab_rules_within_thresholds,DETERMINISTIC_LABORATORY_RULES,False,False,True,False,False,False,False,40,40,0,0,0,True,False,,nan,nan,54efbc48aae0f2aefc4f9242aaff8109edf2cd667f38d99e80bf47e283cbbbc8,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03,0.3,6.0,60.95,61.160000000000004,60.78,0.6000000000000001,0.32,0.0,0.5,0.01999999999999602,1.1,32.800000000000004,0.0,0.0,4.800000000000001,2.0,3352.0,115.4,1.0,115.60000000000001,77.0,66.0,2.0,80.0,98.0,399.0,81.7,31.0,0.01,2.1,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,6.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.6,1.0,0.01999999999999602,0.0,0.20000000000000284,1.1,32.5983,31.0,3785.120000000001,True,False,False,fb293918658a79c0c4add2bb9c62494d0f0ad9a04689123031be0b7bdd693db8,2f7c1c17d61154ae17861adee636d829aefea1fc19179e2a17087d421d2043b2
P5_8_0007,7,7,0.35,EV-LAB-001,NORMAL_BASELINE,NORMAL_LABORATORY_STATE,all_lab_rules_within_thresholds,DETERMINISTIC_LABORATORY_RULES,False,False,True,False,False,False,False,40,40,0,0,0,True,False,,nan,nan,70d7c48b349ec4598610ee4a04b7f2976afdfcedc8f163062fa32da947b857cb,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03,0.35,7.0,61.11,61.51,60.88,0.7000000000000001,0.32,0.01,0.6000000000000001,0.08500000000000085,1.3000000000000003,32.4,0.0,0.0,4.800000000000001,2.0,3361.0,114.7,1.0,113.10000000000001,77.0,65.0,2.0,80.0,98.0,398.6,81.7,31.0,0.013000000000000001,1.6,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,7.0,1.0,1.0,1.0,7.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.58,1.0,0.08500000000000085,0.0,1.5999999999999943,1.3000000000000003,32.56562,31.0,3716.2799999999997,True,False,False,2f7c1c17d61154ae17861adee636d829aefea1fc19179e2a17087d421d2043b2,01670804bd69a8bc719d67bb8e48f6849a030fc4d67cad23eebad073e2a2f8e3
P5_8_0008,8,8,0.4,EV-LAB-001,NORMAL_BASELINE,NORMAL_LABORATORY_STATE,all_lab_rules_within_thresholds,DETERMINISTIC_LABORATORY_RULES,False,False,True,False,False,False,False,40,40,0,0,0,True,False,,nan,nan,96f310f6d14913c3b2319413d88202b028c8af2b842e57ecdf996955b6a89e03,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03,0.4,8.0,61.26,61.46,61.06,0.8,0.32,0.01,0.6000000000000001,7.105427357601002e-15,1.4000000000000001,32.4,0.0,0.0,4.800000000000001,2.0,3370.0,114.9,1.0,117.0,76.0,66.0,2.0,80.0,98.0,398.40000000000003,80.10000000000001,30.0,0.01,2.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,8.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.6,1.0,7.105427357601002e-15,0.0,2.0999999999999943,1.4000000000000001,31.91184000000001,30.0,3722.76,True,False,False,01670804bd69a8bc719d67bb8e48f6849a030fc4d67cad23eebad073e2a2f8e3,f6edd44e113065a42dcd53b067254b60c4c28c428b55dc9312e4192d8bff5f65
P5_8_0009,9,9,0.45,EV-LAB-001,NORMAL_BASELINE,NORMAL_LABORATORY_STATE,all_lab_rules_within_thresholds,DETERMINISTIC_LABORATORY_RULES,False,False,True,False,False,False,False,40,40,0,0,0,True,False,,nan,nan,d85421ba44c49457c8d4bdaf956f636eb7a38c54488bc13a9535d3b83f500014,0a58960f6142fad4876a7eacf986c1d59f503dc47c53559a858505232b3c6bcf,f8b5283c3e85f1bc8b4e6e3bde6cc88ee2c61eb45dc03299a6432a593d0fcd03,0.45,9.0,61.42,61.85,61.24,0.9,0.32,0.01,0.7000000000000001,0.125,1.6,32.800000000000004,0.0,0.0,4.800000000000001,2.0,3378.0,115.4,1.0,115.80000000000001,77.0,65.0,2.0,80.0,98.0,399.3,79.10000000000001,31.0,0.013000000000000001,2.2,2.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,9.0,1.0,1.0,1.0,9.0,0.05,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50.0,50.0,0.0,12.58,1.0,0.125,0.0,0.4000000000000057,1.6,31.584630000000004,31.0,3785.120000000001,True,False,False,f6edd44e113065a42dcd53b067254b60c4c28c428b55dc9312e4192d8bff5f65,e643345ac8d6881cfb81ad99f327a2bdb1d890de4c45654dd949344566a2d4ec
